#simptom;ime;godina;pol;rasa;ver
cataract;double vision;60-74;zensko;hispanic;0.198
cataract;double vision;60-74;musko;white;0.363
cataract;double vision;60-74;zensko;white;0.363
cataract;double vision;60-74;musko;other;0.396
cataract;double vision;60-74;zensko;other;0.396
cataract;double vision;75;musko;black;0.324
cataract;double vision;75;zensko;black;0.324
cataract;double vision;75;musko;hispanic;0.216
cataract;double vision;75;zensko;hispanic;0.216
cataract;double vision;75;musko;white;0.396
cataract;double vision;75;zensko;white;0.396
cataract;double vision;75;musko;other;0.432
cataract;double vision;75;zensko;other;0.432
eye_alignment_disorder;double vision;0;musko;black;0.148
eye_alignment_disorder;double vision;0;zensko;black;0.098
eye_alignment_disorder;double vision;0;musko;hispanic;0.222
eye_alignment_disorder;double vision;0;zensko;hispanic;0.148
eye_alignment_disorder;double vision;0;musko;white;0.166
eye_alignment_disorder;double vision;0;zensko;white;0.111
eye_alignment_disorder;double vision;0;musko;other;0.296
eye_alignment_disorder;double vision;0;zensko;other;0.197
eye_alignment_disorder;double vision;1-4;musko;black;0.343
eye_alignment_disorder;double vision;1-4;zensko;black;0.228
eye_alignment_disorder;double vision;1-4;musko;hispanic;0.514
eye_alignment_disorder;double vision;1-4;zensko;hispanic;0.343
eye_alignment_disorder;double vision;1-4;musko;white;0.265
eye_alignment_disorder;double vision;1-4;zensko;white;0.257
eye_alignment_disorder;double vision;1-4;musko;other;0.685
eye_alignment_disorder;double vision;1-4;zensko;other;0.457
eye_alignment_disorder;double vision;5-14;musko;black;0.269
eye_alignment_disorder;double vision;5-14;zensko;black;0.18
eye_alignment_disorder;double vision;5-14;musko;hispanic;0.403
eye_alignment_disorder;double vision;5-14;zensko;hispanic;0.269
eye_alignment_disorder;double vision;5-14;musko;white;0.302
eye_alignment_disorder;double vision;5-14;zensko;white;0.202
eye_alignment_disorder;double vision;5-14;musko;other;0.537
eye_alignment_disorder;double vision;5-14;zensko;other;0.358
eye_alignment_disorder;double vision;15-29;musko;black;0.027
eye_alignment_disorder;double vision;15-29;zensko;black;0.018
eye_alignment_disorder;double vision;15-29;musko;hispanic;0.04
eye_alignment_disorder;double vision;15-29;zensko;hispanic;0.027
eye_alignment_disorder;double vision;15-29;musko;white;0.03
eye_alignment_disorder;double vision;15-29;zensko;white;0.02
eye_alignment_disorder;double vision;15-29;musko;other;0.054
eye_alignment_disorder;double vision;15-29;zensko;other;0.036
eye_alignment_disorder;double vision;30-44;musko;black;0.013
eye_alignment_disorder;double vision;30-44;zensko;black;0.009
eye_alignment_disorder;double vision;30-44;musko;hispanic;0.02
eye_alignment_disorder;double vision;30-44;zensko;hispanic;0.013
eye_alignment_disorder;double vision;30-44;musko;white;0.015
eye_alignment_disorder;double vision;30-44;zensko;white;0.01
eye_alignment_disorder;double vision;30-44;musko;other;0.027
eye_alignment_disorder;double vision;30-44;zensko;other;0.018
eye_alignment_disorder;double vision;45-59;musko;black;0.02
eye_alignment_disorder;double vision;45-59;zensko;black;0.013
eye_alignment_disorder;double vision;45-59;musko;hispanic;0.03
eye_alignment_disorder;double vision;45-59;zensko;hispanic;0.02
eye_alignment_disorder;double vision;45-59;musko;white;0.023
eye_alignment_disorder;double vision;45-59;zensko;white;0.015
eye_alignment_disorder;double vision;45-59;musko;other;0.04
eye_alignment_disorder;double vision;45-59;zensko;other;0.029
eye_alignment_disorder;double vision;60-74;musko;black;0.034
eye_alignment_disorder;double vision;60-74;zensko;black;0.022
eye_alignment_disorder;double vision;60-74;musko;hispanic;0.05
eye_alignment_disorder;double vision;60-74;zensko;hispanic;0.034
eye_alignment_disorder;double vision;60-74;musko;white;0.038
eye_alignment_disorder;double vision;60-74;zensko;white;0.025
eye_alignment_disorder;double vision;60-74;musko;other;0.067
eye_alignment_disorder;double vision;60-74;zensko;other;0.045
eye_alignment_disorder;double vision;75;musko;black;0.02
eye_alignment_disorder;double vision;75;zensko;black;0.013
